FLIR_ID_Year,FLIR_ID,site,date,year,time,survey_time,photo_type,determined_usage,water,air_temperature_c,humidity,microhabitat_type,distance_from_object_m,meter_marker,marker_number,direction,record_id,latitude.x,longitude.x,latitude.y,longitude.y,observer,FLIR_ID_Date,Notes
FLIR0751_2023,FLIR0751,Vorisek Pond,10/27/23,4522,19:33,Night,whole_site,no image,no image,19.5,84.7,NA,0,NA,NA,NA,e51a4521-169d-4766-9dc3-20da4ff0bc24,41.7121271,-80.3913209,41.7120923,-80.3914088,Rachel Verdi,FLIR0751_2023-10,Missing
FLIR0597_2023,FLIR0597,Tuttle Pond,9/15/23,4518,23:07,Night,whole_site,no image,no image,16.8,83.5,NA,14.6,NA,NA,NA,e0318e58-d7d5-4222-bf60-5e299b16988d,41.6386682,-80.4953814,41.6387594,-80.4953366,Rachel Verdi,FLIR0597_2023-09,Missing
FLIR0741_2023,FLIR0741,RV Pond,9/16/23,4518,23:06,Night,whole_site,no image,no image,15.1,82.1,NA,0,NA,NA,NA,8a3d1c57-f1a1-4c31-847f-a511273fb46a,41.69181335,-80.50108267,41.69193854,-80.50115827,Rachel Verdi,FLIR0741_2023-09,Missing
FLIR1911_2023,FLIR1911,Wood Lab Pond,7/3/23,4511,22:22,Night,whole_site,good,y,21.1,88.7,NA,7.88,NA,NA,NA,16411281-85e1-4643-9fca-86c123aa4c91,41.56826434,-80.45152384,41.56821749,-80.45142919,Rachel Verdi,FLIR1911_2023-07,
FLIR1909_2023,FLIR1909,RV Pond,6/28/23,4510,21:53,Night,whole_site,bad,NA,15.6,89.9,NA,0,NA,NA,NA,8f16c913-9286-48fb-ae36-32effbc652ab,41.69187548,-80.50108887,41.69106753,-80.49971692,Rachel Verdi,FLIR1909_2023-06,
FLIR1973_2023,FLIR1973,Tryon-Weber,7/10/23,4511,22:00,Night,whole_site,good,y,22.4,70.2,NA,11.2,NA,NA,NA,fc07ed2d-aab9-41d0-9fec-5b062106f14f,41.59244636,-80.3569161,41.59239814,-80.35676953,Rachel Verdi,FLIR1973_2023-07,
FLIR1339_2023,FLIR1339,Phelps Pond,5/11/23,4505,20:41,Night,whole_site,good,y,21.6,66.5,NA,16.9,NA,NA,NA,9a9ee9cc-8a14-435f-ab6a-476f1f219204,41.69107185,-80.51247493,41.69105157,-80.51245582,Myah Madril,FLIR1339_2023-05,
FLIR1783_2023,FLIR1783,Tuttle Pond,6/20/23,4509,22:22,Night,whole_site,good,y,21.13,88.2,NA,9.98,NA,NA,NA,5aae466a-7c2e-46dd-b4b0-fa3c5992d5a5,41.63869409,-80.49534844,41.63872456,-80.49507519,Luci Anaya,FLIR1783_2023-06,
FLIR1689_2023,FLIR1689,Tryon-Weber,6/7/23,4508,21:28,Night,whole_site,good,y,17.2,52.5,NA,12,NA,NA,NA,4f5d30b6-99c4-4180-bbb6-e6d55f509d3e,41.59234379,-80.35694426,41.59213242,-80.35688354,Rachel Verdi,FLIR1689_2023-06,
FLIR1683_2023,FLIR1683,RV Pond,6/6/23,4508,22:26,Night,whole_site,good,y,13.8,73.5,NA,0,NA,NA,NA,507e2cbb-1a03-4107-9e65-48b417cfc2c7,41.69166064,-80.50087199,41.69197061,-80.501131,Rachel Verdi,FLIR1683_2023-06,
FLIR1569_2023,FLIR1569,Vorisek Pond,5/31/23,4507,21:25,Night,whole_site,good,y,19.8,70.8,NA,0,NA,NA,NA,cb295f7f-abb6-4add-a0bf-c30875fc3e0b,41.71218372,-80.39140186,41.7127186,-80.39140167,Rachel Verdi,FLIR1569_2023-05,There could be man-made object in picture? (Bad?)
FLIR1511_2023,FLIR1511,Tuttle Pond,5/30/23,4507,21:15,Night,whole_site,good,n,22.9,51.5,NA,0,NA,NA,NA,7e0fe48d-ea21-404b-a9fe-a31eedc88e09,41.63868268,-80.49538237,41.63837353,-80.49468234,Rachel Verdi,FLIR1511_2023-05,
FLIR1129_2023,FLIR1129,Phelps Pond,4/6/23,4502,0:42,Night,whole_site,good,y,16.4,86.3,NA,0,NA,NA,NA,554794ea-cfe1-44cb-a611-b31a1752ce96,41.6910652,-80.51256219,41.69108342,-80.51247711,Brandon Hoenig,FLIR1129_2023-04,
FLIR1129_2023,FLIR1129,Phelps Pond,4/6/23,4502,0:42,Night,whole_site,good,y,16.4,86.3,NA,0,NA,NA,NA,554794ea-cfe1-44cb-a611-b31a1752ce96,41.6910652,-80.51256219,41.69108342,-80.51247711,Brandon Hoenig,FLIR1129_2023-04,Duplicate data entry (one above)?
FLIR1455_2023,FLIR1455,RV Pond,5/22/23,4506,20:39,Night,whole_site,good,n,21.2,59.6,NA,0,NA,NA,NA,c009f3e3-9520-4b16-9646-d451b45f56d5,41.69198594,-80.50096319,41.69204755,-80.50094646,Brandon Hoenig,FLIR1455_2023-05,
FLIR1397_2023,FLIR1397,Wood Lab Pond,5/15/23,4506,20:57,Night,whole_site,good,y,13.9,58.1,NA,5.8,NA,NA,NA,7c1c8d74-03d5-47cb-897a-0daf8bf8c1b2,41.56819704,-80.45154196,41.56828818,-80.45147421,Rachel Verdi,FLIR1397_2023-05,
FLIR1289_2023,FLIR1289,Admin Pond,5/10/23,4505,21:18,Night,whole_site,good,y,15.6,57.4,NA,4.31,NA,NA,NA,6c187e39-b846-4b18-9679-7dd26a1a947c,41.64203454,-80.42891759,41.64203617,-80.42882144,Brandon Hoenig,FLIR1289_2023-05,
FLIR1289_2023,FLIR1289,Admin Pond,5/10/23,4505,21:18,Night,whole_site,good,n,15.6,57.4,NA,4.31,NA,NA,NA,6c187e39-b846-4b18-9679-7dd26a1a947c,41.64203454,-80.42891759,41.64203617,-80.42882144,Brandon Hoenig,FLIR1289_2023-05,Duplicate data entry (one above)?
FLIR1237_2023,FLIR1237,Wood Lab Pond,5/3/23,4504,21:00,Night,whole_site,bad,NA,8.6,83.3,NA,4.35,NA,NA,NA,2261824d-4b85-4b43-9eb6-9d13c4d70179,41.56824825,-80.45151097,41.56826507,-80.45156943,Brandon Hoenig,FLIR1237_2023-05,
FLIR1237_2023,FLIR1237,Wood Lab Pond,5/3/23,4504,21:00,Night,whole_site,bad,NA,8.6,83.3,NA,4.35,NA,NA,NA,2261824d-4b85-4b43-9eb6-9d13c4d70179,41.56824825,-80.45151097,41.56826507,-80.45156943,Brandon Hoenig,FLIR1237_2023-05,Duplicate data entry (one above)?
FLIR1181_2023,FLIR1181,Admin Pond,4/20/23,4503,22:26,Night,whole_site,bad,NA,16.6,55.9,NA,21.5,NA,NA,NA,16bde16d-4bb2-461a-864c-1606dbf7db2c,41.6420241,-80.42869035,41.64189598,-80.42821057,Brandon Hoenig,FLIR1181_2023-04,
FLIR1181_2023,FLIR1181,Admin Pond,4/20/23,4503,22:26,Night,whole_site,bad,NA,16.6,55.9,NA,21.5,NA,NA,NA,16bde16d-4bb2-461a-864c-1606dbf7db2c,41.6420241,-80.42869035,41.64189598,-80.42821057,Brandon Hoenig,FLIR1181_2023-04,Duplicate data entry (one above)?
FLIR0753_2023,FLIR0753,Vorisek Pond,10/27/23,4522,19:36,Night,transect,no image,no image,19.5,84.7,NA,1.56,10,NA,North,e51a4521-169d-4766-9dc3-20da4ff0bc24,41.7121239,-80.3913251,41.7120923,-80.3914088,Rachel Verdi,FLIR0753_2023-10,missing
FLIR0755_2023,FLIR0755,Vorisek Pond,10/27/23,4522,19:37,Night,transect,no image,no image,19.5,84.7,NA,1.49,10,NA,South,e51a4521-169d-4766-9dc3-20da4ff0bc24,41.7121435,-80.3913266,41.7120923,-80.3914088,Rachel Verdi,FLIR0755_2023-10,missing
FLIR0757_2023,FLIR0757,Vorisek Pond,10/27/23,4522,19:37,Night,transect,no image,no image,19.5,84.7,NA,1.55,10,NA,East,e51a4521-169d-4766-9dc3-20da4ff0bc24,41.7121402,-80.3913213,41.7120923,-80.3914088,Rachel Verdi,FLIR0757_2023-10,missing
FLIR0759_2023,FLIR0759,Vorisek Pond,10/27/23,4522,19:38,Night,transect,no image,no image,19.5,84.7,NA,1.48,10,NA,West,e51a4521-169d-4766-9dc3-20da4ff0bc24,41.7121413,-80.3913244,41.7120923,-80.3914088,Rachel Verdi,FLIR0759_2023-10,
FLIR0761_2023,FLIR0761,Vorisek Pond,10/27/23,4522,19:38,Night,transect,no image,no image,19.5,84.7,NA,1.53,8,NA,North,e51a4521-169d-4766-9dc3-20da4ff0bc24,41.7121599,-80.3913353,41.7120923,-80.3914088,Rachel Verdi,FLIR0761_2023-10,
FLIR0763_2023,FLIR0763,Vorisek Pond,10/27/23,4522,19:39,Night,transect,no image,no image,19.5,84.7,NA,1.5,8,NA,South,e51a4521-169d-4766-9dc3-20da4ff0bc24,41.7121702,-80.3913743,41.7120923,-80.3914088,Rachel Verdi,FLIR0763_2023-10,
FLIR0767_2023,FLIR0767,Vorisek Pond,10/27/23,4522,19:39,Night,transect,no image,no image,19.5,84.7,NA,1.59,8,NA,East,e51a4521-169d-4766-9dc3-20da4ff0bc24,41.7121719,-80.3913686,41.7120923,-80.3914088,Rachel Verdi,FLIR0767_2023-10,
FLIR0771_2023,FLIR0771,Vorisek Pond,10/27/23,4522,19:40,Night,transect,no image,no image,19.5,84.7,NA,1.51,8,NA,West,e51a4521-169d-4766-9dc3-20da4ff0bc24,41.7121875,-80.3913739,41.7120923,-80.3914088,Rachel Verdi,FLIR0771_2023-10,
FLIR0773_2023,FLIR0773,Vorisek Pond,10/27/23,4522,19:42,Night,transect,no image,no image,19.5,84.7,NA,1.39,6,NA,North,e51a4521-169d-4766-9dc3-20da4ff0bc24,41.7121397,-80.3913425,41.7120923,-80.3914088,Rachel Verdi,FLIR0773_2023-10,
FLIR0775_2023,FLIR0775,Vorisek Pond,10/27/23,4522,19:43,Night,transect,no image,no image,19.5,84.7,NA,1.51,6,NA,South,e51a4521-169d-4766-9dc3-20da4ff0bc24,41.712173,-80.3913467,41.7120923,-80.3914088,Rachel Verdi,FLIR0775_2023-10,
FLIR0777_2023,FLIR0777,Vorisek Pond,10/27/23,4522,19:43,Night,transect,no image,no image,19.5,84.7,NA,1.71,6,NA,East,e51a4521-169d-4766-9dc3-20da4ff0bc24,41.7121673,-80.3913417,41.7120923,-80.3914088,Rachel Verdi,FLIR0777_2023-10,
FLIR0779_2023,FLIR0779,Vorisek Pond,10/27/23,4522,19:43,Night,transect,no image,no image,19.5,84.7,NA,1.51,6,NA,West,e51a4521-169d-4766-9dc3-20da4ff0bc24,41.7121614,-80.3913401,41.7120923,-80.3914088,Rachel Verdi,FLIR0779_2023-10,
FLIR0781_2023,FLIR0781,Vorisek Pond,10/27/23,4522,19:44,Night,transect,no image,no image,19.5,84.7,NA,1.5,4,NA,North,e51a4521-169d-4766-9dc3-20da4ff0bc24,41.7121685,-80.3913363,41.7120923,-80.3914088,Rachel Verdi,FLIR0781_2023-10,
FLIR0785_2023,FLIR0785,Vorisek Pond,10/27/23,4522,19:44,Night,transect,no image,no image,19.5,84.7,NA,1.43,4,NA,South,e51a4521-169d-4766-9dc3-20da4ff0bc24,41.7122009,-80.391359,41.7120923,-80.3914088,Rachel Verdi,FLIR0785_2023-10,
FLIR0787_2023,FLIR0787,Vorisek Pond,10/27/23,4522,19:45,Night,transect,no image,no image,19.5,84.7,NA,1.8,4,NA,East,e51a4521-169d-4766-9dc3-20da4ff0bc24,41.7121956,-80.3913578,41.7120923,-80.3914088,Rachel Verdi,FLIR0787_2023-10,
FLIR0789_2023,FLIR0789,Vorisek Pond,10/27/23,4522,19:45,Night,transect,no image,no image,19.5,84.7,NA,1.51,4,NA,West,e51a4521-169d-4766-9dc3-20da4ff0bc24,41.7121954,-80.3913581,41.7120923,-80.3914088,Rachel Verdi,FLIR0789_2023-10,
FLIR0793_2023,FLIR0793,Vorisek Pond,10/27/23,4522,19:45,Night,transect,no image,no image,19.5,84.7,NA,1.5,2,NA,North,e51a4521-169d-4766-9dc3-20da4ff0bc24,41.7121788,-80.3913554,41.7120923,-80.3914088,Rachel Verdi,FLIR0793_2023-10,
FLIR0795_2023,FLIR0795,Vorisek Pond,10/27/23,4522,19:46,Night,transect,no image,no image,19.5,84.7,NA,1.62,2,NA,South,e51a4521-169d-4766-9dc3-20da4ff0bc24,41.7122208,-80.3913521,41.7120923,-80.3914088,Rachel Verdi,FLIR0795_2023-10,
FLIR0797_2023,FLIR0797,Vorisek Pond,10/27/23,4522,19:46,Night,transect,no image,no image,19.5,84.7,NA,1.77,2,NA,East,e51a4521-169d-4766-9dc3-20da4ff0bc24,41.712221,-80.3913522,41.7120923,-80.3914088,Rachel Verdi,FLIR0797_2023-10,
FLIR0799_2023,FLIR0799,Vorisek Pond,10/27/23,4522,19:47,Night,transect,no image,no image,19.5,84.7,NA,1.57,2,NA,West,e51a4521-169d-4766-9dc3-20da4ff0bc24,41.7122208,-80.3913522,41.7120923,-80.3914088,Rachel Verdi,FLIR0799_2023-10,
FLIR0801_2023,FLIR0801,Vorisek Pond,10/27/23,4522,19:47,Night,transect,no image,no image,19.5,84.7,NA,1.52,0,NA,North,e51a4521-169d-4766-9dc3-20da4ff0bc24,41.7122264,-80.3913518,41.7120923,-80.3914088,Rachel Verdi,FLIR0801_2023-10,
FLIR0803_2023,FLIR0803,Vorisek Pond,10/27/23,4522,19:48,Night,transect,no image,no image,19.5,84.7,NA,1.67,0,NA,South,e51a4521-169d-4766-9dc3-20da4ff0bc24,41.7122508,-80.3913194,41.7120923,-80.3914088,Rachel Verdi,FLIR0803_2023-10,
FLIR0805_2023,FLIR0805,Vorisek Pond,10/27/23,4522,19:48,Night,transect,no image,no image,19.5,84.7,NA,1.45,0,NA,East,e51a4521-169d-4766-9dc3-20da4ff0bc24,41.712249,-80.3913201,41.7120923,-80.3914088,Rachel Verdi,FLIR0805_2023-10,
FLIR0807_2023,FLIR0807,Vorisek Pond,10/27/23,4522,19:49,Night,transect,no image,no image,19.5,84.7,NA,1.52,0,NA,West,e51a4521-169d-4766-9dc3-20da4ff0bc24,41.7122412,-80.3913149,41.7120923,-80.3914088,Rachel Verdi,FLIR0807_2023-10,
FLIR0599_2023,FLIR0599,Tuttle Pond,9/15/23,4518,23:08,Night,transect,no image,no image,16.8,83.5,NA,1.43,10,NA,North,e0318e58-d7d5-4222-bf60-5e299b16988d,41.6386467,-80.49533,41.6387594,-80.4953366,Rachel Verdi,FLIR0599_2023-09,
FLIR0601_2023,FLIR0601,Tuttle Pond,9/15/23,4518,23:10,Night,transect,no image,no image,16.8,83.5,NA,1.5,10,NA,South,e0318e58-d7d5-4222-bf60-5e299b16988d,41.6387583,-80.495295,41.6387594,-80.4953366,Rachel Verdi,FLIR0601_2023-09,
FLIR0603_2023,FLIR0603,Tuttle Pond,9/15/23,4518,23:11,Night,transect,no image,no image,16.8,83.5,NA,1.43,10,NA,East,e0318e58-d7d5-4222-bf60-5e299b16988d,41.6387583,-80.495295,41.6387594,-80.4953366,Rachel Verdi,FLIR0603_2023-09,
FLIR0605_2023,FLIR0605,Tuttle Pond,9/15/23,4518,23:11,Night,transect,no image,no image,16.8,83.5,NA,1.48,10,NA,West,e0318e58-d7d5-4222-bf60-5e299b16988d,41.6387863,-80.4953473,41.6387594,-80.4953366,Rachel Verdi,FLIR0605_2023-09,
FLIR0609_2023,FLIR0609,Tuttle Pond,9/15/23,4518,23:12,Night,transect,no image,no image,16.8,83.5,NA,1.54,8,NA,North,e0318e58-d7d5-4222-bf60-5e299b16988d,41.638785,-80.4953483,41.6387594,-80.4953366,Rachel Verdi,FLIR0609_2023-09,
FLIR0613_2023,FLIR0613,Tuttle Pond,9/15/23,4518,23:13,Night,transect,no image,no image,16.8,83.5,NA,1.34,8,NA,South,e0318e58-d7d5-4222-bf60-5e299b16988d,41.638785,-80.4953483,41.6387594,-80.4953366,Rachel Verdi,FLIR0613_2023-09,
FLIR0615_2023,FLIR0615,Tuttle Pond,9/15/23,4518,23:13,Night,transect,no image,no image,16.8,83.5,NA,1.3,8,NA,East,e0318e58-d7d5-4222-bf60-5e299b16988d,41.6387567,-80.49533,41.6387594,-80.4953366,Rachel Verdi,FLIR0615_2023-09,
