"FLIR_ID_Year","FLIR_ID","site","date","time","survey_time","photo_type","determined_usage","water","air_temperature_c","humidity","microhabitat_type","distance_from_object_m","meter_marker","marker_number","direction","record_id","latitude.x","longitude.x","latitude.y","longitude.y","observer","FLIR_ID_Date"
"FLIR2641_2024","FLIR2641","Tuttle Pond",2024-08-12,"23:42","Night","whole_site",NA,NA,20.6,73.5,NA,14,NA,NA,NA,"6c09f3f8-ed45-4879-acb3-675ff3341754",41.638756039332,-80.49537588327,41.6388154216,-80.4955958762,"Rachel Verdi","FLIR2641_2024-08"
"FLIR1625_2024","FLIR1625","Wood Lab Pond",2024-06-03,"22:19","Night","whole_site",NA,NA,18.7,94.5,NA,35.5,NA,NA,NA,"376f2b5b-f490-427d-ba3a-14c0a11575b5",41.5682517844654,-80.4515010268928,41.5682984284,-80.451583257,"Connor Fowler","FLIR1625_2024-06"
"FLIR2321_2024","FLIR2321","RV Pond",2024-07-24,"01:19","Night","whole_site",NA,NA,20.1,98.8,NA,0,NA,NA,NA,"93bbf242-832b-405e-9984-573633f99439",41.6917733,-80.5010406,41.6919018,-80.5012066,"Rachel Verdi","FLIR2321_2024-07"
"FLIR2323_2024","FLIR2323","RV Pond",2024-07-24,"01:20","Night","whole_site",NA,NA,20.1,98.8,NA,0,NA,NA,NA,"93bbf242-832b-405e-9984-573633f99439",41.6918542,-80.5010652,41.6919018,-80.5012066,"Rachel Verdi","FLIR2323_2024-07"
"FLIR2325_2024","FLIR2325","RV Pond",2024-07-24,"01:20","Night","whole_site",NA,NA,20.1,98.8,NA,7.3,NA,NA,NA,"93bbf242-832b-405e-9984-573633f99439",41.6919026,-80.5011016,41.6919018,-80.5012066,"Rachel Verdi","FLIR2325_2024-07"
"FLIR2117_2024","FLIR2117","Vorisek Pond",2024-07-23,"23:00","Night","whole_site",NA,NA,20.8,80.6,NA,0,NA,NA,NA,"51233e84-779d-42c9-9a1a-8b69143e2d43",41.7121181,-80.3913233,41.7122383,-80.3917167,"Rachel Verdi","FLIR2117_2024-07"
"FLIR2119_2024","FLIR2119","Vorisek Pond",2024-07-23,"23:01","Night","whole_site",NA,NA,20.8,80.6,NA,23,NA,NA,NA,"51233e84-779d-42c9-9a1a-8b69143e2d43",41.7121452,-80.391323,41.7122383,-80.3917167,"Rachel Verdi","FLIR2119_2024-07"
"FLIR2115_2024","FLIR2115","Tryon-Weber",2024-07-09,"22:42","Night","whole_site",NA,NA,0,0,NA,12.4,NA,NA,NA,"a6746f7d-c93e-454d-937a-ba198fb202ef",41.5923758043832,-80.3569074886847,41.5923637525,-80.3569366504,"Brandon Hoenig","FLIR2115_2024-07"
"FLIR1613_2024","FLIR1613","Phelps Pond",2024-05-29,"23:00","Night","whole_site",NA,NA,0,0,NA,7.79,NA,NA,NA,"fd455512-834c-4560-8553-cdfca8929b0e",41.6908991053438,-80.5126625856175,41.6911754877,-80.5124743307,"Brandon Hoenig","FLIR1613_2024-05"
"FLIR2017_2024","FLIR2017","Tuttle Pond",2024-07-08,"22:25","Night","whole_site",NA,NA,0,0,NA,5.34,NA,NA,NA,"229965d5-a1a1-432b-a661-6b7b458d3a14",41.6386566792683,-80.4954748574392,41.6386756534,-80.4953947943,"Brandon Hoenig","FLIR2017_2024-07"
