"FLIR_ID_Date","photo_type","date","site"
"FLIR2641_2024-08","whole_site",2024-08-12,"Tuttle Pond"
"FLIR1625_2024-06","whole_site",2024-06-03,"Wood Lab Pond"
"FLIR2321_2024-07","whole_site",2024-07-24,"RV Pond"
"FLIR2323_2024-07","whole_site",2024-07-24,"RV Pond"
"FLIR2325_2024-07","whole_site",2024-07-24,"RV Pond"
"FLIR2117_2024-07","whole_site",2024-07-23,"Vorisek Pond"
"FLIR2119_2024-07","whole_site",2024-07-23,"Vorisek Pond"
"FLIR2115_2024-07","whole_site",2024-07-09,"Tryon-Weber"
"FLIR1613_2024-05","whole_site",2024-05-29,"Phelps Pond"
"FLIR2017_2024-07","whole_site",2024-07-08,"Tuttle Pond"
"FLIR1921_2024-06","whole_site",2024-06-11,"RV Pond"
"FLIR1923_2024-06","whole_site",2024-06-11,"RV Pond"
"FLIR1813_2024-06","whole_site",2024-06-10,"Vorisek Pond"
"FLIR1433_2024-05","whole_site",2024-05-28,"Tryon-Weber"
"FLIR1327_2024-05","whole_site",2024-05-20,"Wood Lab Pond"
"FLIR1009_2024-04","whole_site",2024-04-13,"Wood Lab Pond"
"FLIR0911_2024-03","whole_site",2024-03-15,"Phelps Pond"
"FLIR2553_2024-08","transect",2024-08-12,"Tuttle Pond"
"FLIR2555_2024-08","transect",2024-08-12,"Tuttle Pond"
"FLIR2557_2024-08","transect",2024-08-12,"Tuttle Pond"
"FLIR2559_2024-08","transect",2024-08-12,"Tuttle Pond"
"FLIR2561_2024-08","transect",2024-08-12,"Tuttle Pond"
"FLIR5263_2024-08","transect",2024-08-12,"Tuttle Pond"
"FLIR2565_2024-08","transect",2024-08-12,"Tuttle Pond"
"FLIR2567_2024-08","transect",2024-08-12,"Tuttle Pond"
"FLIR2569_2024-08","transect",2024-08-12,"Tuttle Pond"
"FLIR2571_2024-08","transect",2024-08-12,"Tuttle Pond"
"FLIR2573_2024-08","transect",2024-08-12,"Tuttle Pond"
"FLIR2575_2024-08","transect",2024-08-12,"Tuttle Pond"
"FLIR2577_2024-08","transect",2024-08-12,"Tuttle Pond"
"FLIR2579_2024-08","transect",2024-08-12,"Tuttle Pond"
"FLIR2581_2024-08","transect",2024-08-12,"Tuttle Pond"
"FLIR2583_2024-08","transect",2024-08-12,"Tuttle Pond"
"FLIR2585_2024-08","transect",2024-08-12,"Tuttle Pond"
"FLIR2587_2024-08","transect",2024-08-12,"Tuttle Pond"
"FLIR2589_2024-08","transect",2024-08-12,"Tuttle Pond"
"FLIR2591_2024-08","transect",2024-08-12,"Tuttle Pond"
"FLIR2593_2024-08","transect",2024-08-12,"Tuttle Pond"
"FLIR2595_2024-08","transect",2024-08-12,"Tuttle Pond"
"FLIR2597_2024-08","transect",2024-08-12,"Tuttle Pond"
"FLIR2599_2024-08","transect",2024-08-12,"Tuttle Pond"
"FLIR2601_2024-08","transect",2024-08-12,"Tuttle Pond"
"FLIR2603_2024-08","transect",2024-08-12,"Tuttle Pond"
"FLIR2605_2024-08","transect",2024-08-12,"Tuttle Pond"
"FLIR2607_2024-08","transect",2024-08-12,"Tuttle Pond"
"FLIR2609_2024-08","transect",2024-08-12,"Tuttle Pond"
"FLIR2611_2024-08","transect",2024-08-12,"Tuttle Pond"
"FLIR2613_2024-08","transect",2024-08-12,"Tuttle Pond"
"FLIR2615_2024-08","transect",2024-08-12,"Tuttle Pond"
"FLIR2617_2024-08","transect",2024-08-12,"Tuttle Pond"
"FLIR2619_2024-08","transect",2024-08-12,"Tuttle Pond"
"FLIR2621_2024-08","transect",2024-08-12,"Tuttle Pond"
"FLIR2623_2024-08","transect",2024-08-12,"Tuttle Pond"
"FLIR2625_2024-08","transect",2024-08-12,"Tuttle Pond"
"FLIR2627_2024-08","transect",2024-08-12,"Tuttle Pond"
"FLIR2629_2024-08","transect",2024-08-12,"Tuttle Pond"
"FLIR2631_2024-08","transect",2024-08-12,"Tuttle Pond"
"FLIR2633_2024-08","transect",2024-08-12,"Tuttle Pond"
"FLIR2635_2024-08","transect",2024-08-12,"Tuttle Pond"
"FLIR2637_2024-08","transect",2024-08-12,"Tuttle Pond"
"FLIR2639_2024-08","transect",2024-08-12,"Tuttle Pond"
"FLIR1627_2024-06","transect",2024-06-03,"Wood Lab Pond"
"FLIR1629_2024-06","transect",2024-06-03,"Wood Lab Pond"
"FLIR1631_2024-06","transect",2024-06-03,"Wood Lab Pond"
"FLIR1633_2024-06","transect",2024-06-03,"Wood Lab Pond"
"FLIR1635_2024-06","transect",2024-06-03,"Wood Lab Pond"
"FLIR1637_2024-06","transect",2024-06-03,"Wood Lab Pond"
"FLIR1639_2024-06","transect",2024-06-03,"Wood Lab Pond"
"FLIR1641_2024-06","transect",2024-06-03,"Wood Lab Pond"
"FLIR1643_2024-06","transect",2024-06-03,"Wood Lab Pond"
"FLIR1645_2024-06","transect",2024-06-03,"Wood Lab Pond"
"FLIR1647_2024-06","transect",2024-06-03,"Wood Lab Pond"
"FLIR1649_2024-06","transect",2024-06-03,"Wood Lab Pond"
"FLIR1651_2024-06","transect",2024-06-03,"Wood Lab Pond"
"FLIR1653_2024-06","transect",2024-06-03,"Wood Lab Pond"
"FLIR1655_2024-06","transect",2024-06-03,"Wood Lab Pond"
"FLIR1657_2024-06","transect",2024-06-03,"Wood Lab Pond"
"FLIR1659_2024-06","transect",2024-06-03,"Wood Lab Pond"
"FLIR1661_2024-06","transect",2024-06-03,"Wood Lab Pond"
"FLIR1663_2024-06","transect",2024-06-03,"Wood Lab Pond"
"FLIR1665_2024-06","transect",2024-06-03,"Wood Lab Pond"
"FLIR1667_2024-06","transect",2024-06-03,"Wood Lab Pond"
